Ever_Married,Age,Profession,Work_Experience,Family_Size,Var_1,Segmentation,Gender_Male,Graduated_Yes,Spending_Score_High,Spending_Score_Low
Yes,45,Artist,1,3,Cat_3,C,0,1,0,0
Yes,72,Lawyer,1,NA,Cat_4,D,1,1,0,1
Yes,48,Artist,0,2,Cat_6,C,1,1,0,0
Yes,55,Artist,9,2,Cat_1,C,1,1,0,0
Yes,74,Lawyer,0,3,Cat_6,D,1,1,1,0
Yes,56,Lawyer,1,2,Cat_6,A,1,1,1,0
Yes,59,Lawyer,7,2,Cat_6,A,1,1,1,0
No,25,Entertainment,0,2,Cat_6,A,1,1,0,1
Yes,31,Doctor,0,2,Cat_6,A,1,1,0,0
No,27,Artist,8,4,Cat_6,A,1,0,0,1
Yes,57,Artist,0,4,Cat_6,B,1,1,0,0
Yes,39,Homemaker,NA,2,Cat_6,A,0,1,1,0
Yes,27,Healthcare,8,2,Cat_6,D,1,1,0,1
Yes,51,Entertainment,8,2,Cat_6,A,0,1,0,0
Yes,47,Artist,0,5,Cat_6,B,0,0,0,0
No,33,Healthcare,8,4,Cat_6,D,0,0,0,1
Yes,56,Artist,0,4,Cat_6,C,1,1,0,0
No,33,Homemaker,0,3,Cat_6,B,0,0,0,1
No,36,Doctor,0,2,Cat_6,D,0,1,0,1
Yes,51,Artist,4,3,Cat_4,A,1,0,0,1
Yes,45,Engineer,2,2,Cat_6,C,1,1,0,0
No,49,NA,1,1,Cat_6,D,0,1,0,1
No,30,Healthcare,0,4,Cat_6,C,1,0,0,1
No,26,Healthcare,6,3,Cat_5,D,0,0,0,1
Yes,63,Artist,8,1,Cat_6,A,1,1,0,1
Yes,35,Entertainment,8,4,Cat_3,B,1,0,0,0
No,19,Marketing,1,3,Cat_4,A,0,0,0,1
No,32,Healthcare,7,5,Cat_6,D,1,0,0,1
Yes,52,Artist,0,3,Cat_6,C,1,1,0,0
Yes,36,Artist,5,2,Cat_6,C,0,1,0,1
No,42,Entertainment,7,3,Cat_4,D,0,0,0,1
Yes,40,Doctor,0,2,Cat_3,D,1,0,0,0
No,39,Entertainment,0,3,Cat_1,B,1,1,0,1
Yes,47,Artist,1,4,Cat_3,C,0,1,0,0
Yes,61,Artist,1,2,Cat_6,C,0,1,1,0
Yes,32,Entertainment,1,2,Cat_3,D,1,0,0,1
Yes,55,Artist,0,1,Cat_6,B,1,0,0,1
Yes,58,Artist,NA,1,Cat_6,D,1,1,0,0
No,38,Artist,0,1,Cat_6,D,0,1,0,1
Yes,63,Artist,0,2,Cat_6,C,1,1,1,0
Yes,58,Doctor,1,2,Cat_6,C,1,1,0,0
Yes,30,Engineer,3,3,Cat_4,D,1,0,0,0
Yes,60,Artist,0,4,Cat_6,C,1,1,0,0
Yes,68,Executive,1,7,Cat_6,B,1,0,1,0
Yes,52,Artist,0,3,Cat_4,A,1,0,0,1
Yes,38,Executive,0,5,Cat_6,A,1,0,1,0
Yes,35,Healthcare,10,2,Cat_6,B,0,1,0,1
No,18,Doctor,1,2,Cat_6,D,1,0,0,1
Yes,30,Homemaker,3,2,Cat_1,D,1,1,0,1
No,86,Lawyer,1,1,Cat_6,D,1,0,0,1
NA,19,Healthcare,6,5,Cat_3,D,0,0,0,1
No,25,Healthcare,9,3,Cat_6,D,1,0,0,1
Yes,59,Entertainment,NA,4,Cat_4,A,1,1,0,1
No,39,Artist,0,1,Cat_6,A,0,1,0,1
Yes,50,Doctor,1,NA,Cat_6,B,0,1,0,1
No,47,Artist,1,1,Cat_6,C,1,1,0,1
Yes,43,Executive,0,3,Cat_6,D,1,1,1,0
Yes,36,Executive,8,4,Cat_1,B,1,0,0,0
Yes,80,Lawyer,1,1,Cat_6,D,1,0,0,1
No,36,Artist,0,2,Cat_2,C,1,1,0,1
No,27,NA,2,7,Cat_4,D,1,0,0,1
Yes,37,Artist,1,2,Cat_7,A,0,1,1,0
Yes,46,Executive,0,3,Cat_6,C,1,1,1,0
Yes,55,Executive,1,4,Cat_3,B,1,0,1,0
Yes,47,Engineer,9,4,Cat_4,B,0,0,0,0
No,28,Healthcare,1,3,Cat_3,D,0,1,0,1
Yes,39,Entertainment,9,2,Cat_3,D,1,0,0,1
Yes,27,Marketing,1,2,Cat_6,A,0,0,0,1
Yes,42,Engineer,0,NA,Cat_6,A,0,0,0,1
Yes,72,Artist,0,2,Cat_6,C,1,1,0,0
Yes,28,Engineer,0,2,Cat_6,A,0,1,0,1
No,35,Entertainment,8,5,Cat_6,C,1,1,0,1
Yes,39,Executive,9,5,Cat_2,A,1,1,1,0
Yes,69,Lawyer,0,2,Cat_6,C,0,1,1,0
No,18,Healthcare,6,4,Cat_4,D,1,0,0,1
Yes,46,Artist,NA,1,Cat_6,A,1,1,0,1
Yes,50,Engineer,1,2,Cat_4,B,0,1,1,0
No,30,Executive,5,5,Cat_6,A,1,0,0,1
No,41,Artist,NA,2,Cat_6,B,0,0,0,1
No,39,Artist,3,4,Cat_6,D,0,1,0,1
No,29,Marketing,8,4,Cat_6,D,0,0,0,1
Yes,37,Artist,4,4,Cat_5,B,0,1,0,1
Yes,39,Engineer,0,2,Cat_6,A,0,1,0,0
Yes,48,Artist,0,5,Cat_7,C,0,1,0,0
No,32,Doctor,0,3,Cat_6,C,0,1,0,1
Yes,78,Lawyer,1,NA,Cat_6,B,1,0,0,1
Yes,43,Engineer,0,5,Cat_4,B,0,0,0,0
No,29,Marketing,8,5,Cat_6,C,1,0,0,1
Yes,28,Engineer,9,2,Cat_4,A,0,0,0,0
Yes,80,Lawyer,1,1,Cat_6,B,1,1,0,1
No,28,Healthcare,7,4,Cat_6,D,0,1,0,1
Yes,71,Artist,6,3,Cat_6,C,1,1,0,0
Yes,67,Lawyer,0,9,Cat_4,A,1,0,1,0
No,26,Engineer,0,1,Cat_2,A,0,0,0,1
Yes,47,Engineer,0,2,Cat_6,C,0,1,0,0
Yes,43,Artist,2,2,Cat_6,B,0,1,0,0
No,27,Healthcare,0,4,Cat_6,C,0,1,0,1
Yes,45,Marketing,8,4,Cat_6,D,0,1,0,1
Yes,76,Executive,1,1,Cat_6,C,1,0,0,1
Yes,43,Artist,3,4,Cat_6,C,0,1,0,0
Yes,78,Lawyer,1,2,Cat_6,B,0,1,1,0
Yes,35,Artist,3,3,Cat_6,C,1,1,0,0
No,49,Artist,1,1,Cat_6,C,0,1,0,1
No,25,Healthcare,1,5,Cat_6,D,0,1,0,1
Yes,37,Executive,0,5,Cat_6,A,1,0,0,0
No,32,Healthcare,1,5,NA,C,0,0,0,1
Yes,60,Doctor,0,2,Cat_6,C,1,1,0,0
Yes,45,Artist,5,3,Cat_6,C,0,1,0,0
Yes,49,Homemaker,9,3,Cat_6,C,0,1,0,0
No,32,Artist,0,5,Cat_6,D,1,1,0,1
Yes,40,Artist,0,3,Cat_3,B,0,1,0,1
Yes,59,Artist,2,2,Cat_4,C,1,0,0,0
Yes,48,Artist,3,5,Cat_6,B,1,1,0,1
Yes,82,Executive,0,2,Cat_6,C,1,1,1,0
Yes,70,Lawyer,0,2,Cat_6,B,0,1,0,1
No,31,Artist,5,2,Cat_6,B,1,1,0,1
Yes,72,Lawyer,0,2,Cat_6,C,0,1,1,0
Yes,50,Artist,3,4,Cat_6,C,1,1,0,0
No,23,Engineer,11,1,Cat_3,D,0,0,0,1
No,20,Healthcare,2,6,Cat_6,D,0,0,0,1
No,22,Healthcare,4,3,Cat_6,D,0,0,0,1
No,31,Engineer,8,1,Cat_6,A,0,1,0,1
Yes,36,Artist,7,2,Cat_6,C,0,1,0,0
Yes,52,Entertainment,NA,5,Cat_4,B,1,0,0,0
No,29,Artist,NA,1,Cat_4,B,0,1,0,1
Yes,40,Artist,4,4,Cat_6,C,1,1,0,0
No,40,Artist,1,1,Cat_6,A,0,1,0,1
Yes,38,Artist,NA,2,Cat_6,C,1,1,0,1
Yes,85,Lawyer,NA,NA,NA,A,0,0,0,1
No,21,Doctor,1,3,Cat_7,A,0,0,0,1
Yes,41,Engineer,4,2,Cat_6,D,0,0,0,0
Yes,40,Artist,0,2,Cat_6,B,1,1,0,1
Yes,53,Artist,1,3,Cat_6,B,1,1,0,0
Yes,42,Artist,5,2,Cat_6,C,0,1,0,1
Yes,42,Executive,8,2,Cat_6,D,1,0,0,1
Yes,48,Artist,NA,4,Cat_7,C,1,1,0,0
Yes,59,Artist,7,2,Cat_6,C,1,1,0,1
Yes,41,Executive,1,3,Cat_6,A,1,1,0,0
Yes,31,Artist,0,2,Cat_6,A,0,1,0,0
Yes,49,Artist,1,5,Cat_6,B,0,1,1,0
Yes,67,Executive,1,2,Cat_6,A,1,1,0,1
Yes,35,Artist,4,2,Cat_6,B,1,0,0,0
No,26,Healthcare,0,3,Cat_6,C,0,1,0,1
NA,19,Healthcare,9,3,Cat_3,D,1,0,0,1
Yes,25,Engineer,6,8,Cat_4,D,0,0,0,0
Yes,39,Healthcare,4,2,Cat_6,A,0,1,0,1
Yes,63,Entertainment,0,2,Cat_6,A,1,1,0,1
No,23,Healthcare,8,3,Cat_6,D,1,0,0,1
No,23,Healthcare,0,3,Cat_3,D,0,0,0,1
Yes,53,Artist,2,1,Cat_6,C,0,1,0,1
No,33,Doctor,0,2,Cat_6,B,1,1,0,1
Yes,50,Engineer,NA,4,Cat_2,B,0,0,0,0
Yes,69,Engineer,0,2,Cat_4,B,0,1,0,1
No,37,Artist,2,1,Cat_6,B,1,1,0,1
No,20,Marketing,3,4,Cat_7,C,0,0,0,1
NA,85,Lawyer,0,1,Cat_3,C,0,0,1,0
Yes,49,Doctor,1,4,Cat_6,C,0,1,0,0
No,18,Healthcare,0,3,Cat_3,D,1,0,0,1
Yes,52,Doctor,0,2,Cat_6,C,0,1,0,0
Yes,25,Doctor,NA,2,Cat_4,B,1,0,0,0
Yes,56,Executive,NA,2,Cat_6,A,1,0,1,0
No,62,NA,0,1,Cat_6,A,1,1,0,1
No,35,Artist,0,3,Cat_6,B,0,NA,0,1
Yes,28,Engineer,0,2,Cat_6,A,1,1,0,0
No,28,Artist,7,3,Cat_6,A,0,1,0,1
No,20,Healthcare,0,5,Cat_7,D,1,0,0,1
No,27,Homemaker,8,1,Cat_3,D,0,0,0,1
No,56,Engineer,NA,1,Cat_6,A,0,0,0,1
Yes,45,Artist,4,4,Cat_6,B,1,1,0,0
No,25,Healthcare,1,4,Cat_4,B,1,1,0,1
No,40,Marketing,1,1,Cat_4,D,1,0,0,1
Yes,25,Healthcare,NA,2,Cat_6,D,0,1,0,1
Yes,74,Lawyer,NA,2,Cat_6,D,0,0,1,0
No,23,Healthcare,0,4,NA,D,0,0,0,1
Yes,67,Lawyer,0,2,Cat_6,B,0,1,1,0
No,21,Healthcare,0,4,NA,D,1,0,0,1
No,38,Artist,9,1,Cat_3,A,0,1,0,1
No,28,Healthcare,0,4,Cat_2,C,1,0,0,1
No,32,Healthcare,1,5,Cat_7,B,0,0,0,1
No,33,NA,0,4,NA,D,0,1,0,1
Yes,56,Lawyer,1,4,Cat_4,B,0,0,1,0
Yes,53,Artist,1,2,Cat_6,C,0,1,0,1
Yes,57,Executive,1,5,Cat_6,C,1,0,1,0
Yes,59,Artist,0,3,Cat_6,C,0,1,0,0
Yes,25,Healthcare,1,4,Cat_4,A,0,1,1,0
Yes,59,Artist,0,6,Cat_6,C,1,1,0,0
Yes,36,Artist,0,4,Cat_6,C,0,1,0,1
Yes,37,Entertainment,7,2,Cat_6,A,1,1,0,1
No,22,Doctor,1,3,Cat_2,D,1,0,0,1
Yes,43,Artist,1,2,Cat_6,B,1,1,0,1
Yes,41,Artist,1,2,Cat_4,A,1,1,0,1
No,21,Engineer,0,5,Cat_2,B,0,0,0,1
No,49,Engineer,1,NA,Cat_7,A,0,0,0,1
No,38,Doctor,8,1,Cat_2,B,1,1,0,1
Yes,47,Artist,NA,4,Cat_6,A,1,0,0,0
Yes,70,Lawyer,1,3,Cat_6,C,1,1,1,0
No,31,Engineer,1,4,Cat_6,B,0,0,0,1
Yes,82,Lawyer,0,2,Cat_6,A,0,0,0,0
Yes,51,Executive,NA,1,Cat_6,A,0,0,0,1
No,42,Homemaker,11,NA,Cat_6,A,0,0,0,1
No,38,Artist,8,3,Cat_2,A,1,1,0,1
Yes,18,Executive,0,4,Cat_6,A,1,0,1,0
Yes,50,Artist,6,3,Cat_6,C,1,1,0,0
No,46,Doctor,1,NA,Cat_3,A,0,1,0,1
Yes,72,Lawyer,1,3,Cat_6,D,0,0,1,0
No,33,Engineer,NA,4,Cat_6,C,0,0,0,1
No,25,Homemaker,1,7,Cat_4,B,0,0,0,1
Yes,75,Entertainment,2,2,Cat_2,D,0,0,1,0
No,72,Artist,1,1,Cat_6,B,1,1,0,1
Yes,72,Artist,0,3,Cat_4,C,0,1,0,0
Yes,36,Entertainment,6,6,Cat_4,A,1,1,0,1
Yes,40,Artist,1,2,Cat_6,A,1,1,0,1
No,28,Entertainment,0,4,Cat_6,C,0,1,0,1
No,28,Doctor,0,3,Cat_6,D,0,1,0,1
NA,19,Entertainment,0,3,Cat_4,D,1,0,1,0
Yes,43,Artist,0,2,Cat_4,B,1,1,0,1
Yes,35,Artist,1,2,Cat_6,B,0,1,0,0
Yes,65,Lawyer,1,2,Cat_6,B,1,1,1,0
Yes,52,Executive,7,4,Cat_4,C,1,1,1,0
No,40,Artist,1,1,Cat_6,B,0,1,0,1
Yes,69,Engineer,9,3,Cat_6,A,0,0,0,1
No,22,Healthcare,3,3,Cat_6,D,0,0,0,1
Yes,47,Executive,1,4,Cat_6,C,1,1,0,0
Yes,29,Marketing,1,2,Cat_3,A,1,1,1,0
Yes,46,Artist,1,3,Cat_3,C,1,1,0,0
No,32,Artist,1,2,Cat_6,A,1,1,0,1
No,38,Healthcare,0,1,Cat_2,C,0,1,0,1
Yes,59,Artist,0,1,Cat_6,B,1,1,0,1
No,26,Entertainment,1,1,Cat_6,D,0,1,0,1
No,26,Healthcare,1,2,Cat_3,A,1,1,0,1
No,28,Marketing,0,1,Cat_3,D,1,0,0,1
Yes,53,Engineer,1,3,Cat_6,C,0,1,0,0
No,43,Entertainment,NA,1,Cat_6,B,0,NA,0,1
No,27,Doctor,1,3,Cat_6,D,1,0,0,1
No,32,Artist,NA,8,Cat_6,C,0,0,0,1
No,26,Engineer,0,4,Cat_4,D,1,0,0,1
No,31,Entertainment,0,2,Cat_6,D,0,0,0,1
Yes,39,Executive,1,3,Cat_3,B,1,1,1,0
Yes,43,Engineer,1,3,Cat_7,A,0,0,0,1
Yes,25,Doctor,1,2,Cat_1,A,1,0,0,1
Yes,40,Artist,3,3,Cat_6,A,1,1,1,0
Yes,40,Entertainment,7,2,Cat_3,B,0,1,0,0
Yes,63,Entertainment,NA,3,Cat_6,C,1,1,0,0
Yes,27,Healthcare,NA,2,Cat_6,D,0,1,0,1
No,27,Healthcare,1,3,Cat_6,D,1,1,0,1
No,19,Healthcare,1,2,Cat_6,D,0,0,0,1
Yes,86,Lawyer,0,2,Cat_6,B,0,1,1,0
Yes,41,Marketing,NA,2,Cat_6,B,1,1,1,0
Yes,27,Artist,4,2,Cat_3,C,0,1,0,0
Yes,70,Doctor,0,2,Cat_6,B,0,0,0,0
Yes,53,Engineer,8,4,Cat_4,B,0,0,0,0
Yes,49,Engineer,NA,4,Cat_4,B,0,0,0,0
Yes,55,Executive,3,NA,Cat_4,D,1,0,0,1
NA,57,Engineer,0,4,Cat_2,C,0,1,0,0
Yes,83,Lawyer,NA,1,Cat_4,B,1,0,0,1
Yes,43,Executive,0,4,Cat_6,A,1,0,1,0
Yes,36,Doctor,6,3,Cat_6,A,1,0,0,1
Yes,74,Lawyer,0,2,Cat_6,C,1,1,0,1
No,30,Homemaker,0,4,Cat_6,D,0,0,0,1
No,37,Artist,5,2,Cat_6,B,0,1,0,1
No,22,Marketing,0,1,Cat_5,B,0,0,0,1
No,19,Healthcare,0,4,Cat_6,D,1,0,0,1
Yes,70,Engineer,4,2,Cat_6,B,1,1,1,0
Yes,89,Lawyer,13,1,Cat_6,A,1,1,0,1
No,18,Healthcare,NA,4,Cat_6,D,1,0,0,1
No,25,Doctor,6,1,Cat_2,D,1,1,0,1
No,45,Artist,4,1,Cat_3,A,0,1,0,1
No,35,Artist,3,1,Cat_4,A,0,1,0,1
Yes,37,Engineer,7,1,Cat_4,D,0,0,0,1
Yes,39,Engineer,4,2,Cat_6,B,0,0,0,0
No,32,Healthcare,1,5,Cat_4,D,0,1,0,1
Yes,62,Artist,2,3,Cat_6,C,0,1,0,0
Yes,58,Engineer,0,4,Cat_4,B,0,1,0,0
No,32,Engineer,NA,4,Cat_6,C,0,0,0,1
No,25,Healthcare,0,5,Cat_6,C,1,0,0,1
Yes,56,Artist,0,4,Cat_6,C,0,1,0,0
No,36,Entertainment,10,2,Cat_6,A,0,1,0,1
No,30,Healthcare,8,3,Cat_6,A,0,0,0,1
No,19,Healthcare,1,5,Cat_6,D,1,0,0,1
No,27,Healthcare,0,2,Cat_6,A,1,1,0,1
No,38,Doctor,14,1,Cat_6,A,0,1,0,1
Yes,46,Artist,8,2,Cat_6,C,1,1,0,0
No,29,Artist,3,1,Cat_6,B,1,1,0,1
Yes,51,Entertainment,1,4,Cat_7,B,1,0,0,0
Yes,55,Artist,0,1,Cat_6,A,1,0,0,1
Yes,69,Engineer,1,1,Cat_3,A,0,1,0,1
No,26,Healthcare,1,8,Cat_7,C,0,0,0,1
Yes,83,Lawyer,0,3,Cat_6,A,0,1,0,1
No,39,Healthcare,9,1,Cat_6,D,0,1,0,1
Yes,35,Artist,9,1,Cat_6,A,1,1,0,1
Yes,19,Marketing,2,5,Cat_6,C,1,0,1,0
Yes,60,Artist,NA,4,Cat_6,C,0,1,1,0
Yes,35,Artist,NA,4,Cat_6,C,1,1,0,0
No,53,Engineer,NA,1,Cat_6,B,0,1,0,1
Yes,86,Lawyer,NA,NA,Cat_6,B,0,0,0,1
No,29,Healthcare,1,3,Cat_6,B,0,0,0,1
No,26,Doctor,0,1,Cat_6,D,0,0,0,1
No,36,Engineer,8,1,Cat_6,A,1,1,0,1
No,22,Homemaker,0,4,Cat_6,D,0,0,0,1
No,19,Marketing,0,5,Cat_6,A,1,0,0,1
Yes,20,Lawyer,1,3,Cat_3,A,0,1,0,0
No,43,Healthcare,3,3,Cat_6,D,1,1,0,1
No,42,Artist,NA,3,Cat_6,A,0,1,0,1
No,43,Entertainment,1,2,Cat_4,A,1,1,0,1
Yes,50,Engineer,4,3,Cat_6,B,0,1,1,0
No,25,Entertainment,1,2,Cat_6,A,1,1,0,1
Yes,61,Artist,1,2,Cat_6,B,1,0,1,0
Yes,28,Healthcare,0,2,Cat_6,A,0,1,0,0
No,38,Artist,1,1,Cat_6,D,1,1,0,1
No,25,Executive,12,3,Cat_6,A,1,0,0,1
No,18,Healthcare,9,5,Cat_4,D,0,0,0,1
Yes,43,Entertainment,1,5,Cat_5,C,1,1,0,0
No,27,Artist,8,1,Cat_6,B,0,1,0,1
No,60,Entertainment,1,2,Cat_6,D,0,1,0,1
Yes,75,Lawyer,2,1,Cat_6,D,1,1,0,1
No,31,Doctor,NA,4,Cat_6,D,0,0,0,1
No,23,Doctor,6,4,Cat_2,D,1,0,0,1
No,36,Artist,8,1,Cat_6,A,1,1,0,1
No,30,Doctor,1,1,Cat_3,C,1,0,0,1
Yes,56,Artist,1,2,Cat_6,C,1,0,0,0
Yes,52,Artist,2,2,Cat_6,C,0,1,0,1
Yes,39,Entertainment,0,1,Cat_6,D,1,1,0,1
No,35,Artist,5,1,Cat_6,A,0,0,0,1
Yes,33,Engineer,0,2,Cat_6,B,1,0,0,0
No,25,Artist,0,6,Cat_6,A,0,1,0,1
Yes,27,Artist,0,2,Cat_4,B,0,1,0,0
Yes,35,Artist,1,3,Cat_6,A,1,1,1,0
Yes,41,Artist,1,2,Cat_6,C,0,1,0,0
Yes,49,Artist,NA,3,Cat_7,C,0,1,0,0
Yes,46,Artist,8,2,Cat_6,B,0,0,0,0
No,31,Healthcare,NA,2,Cat_6,D,0,0,0,1
No,49,Doctor,NA,1,Cat_6,C,1,1,0,1
No,26,Artist,9,1,Cat_6,A,0,1,0,1
Yes,43,Doctor,13,2,Cat_6,B,1,1,1,0
Yes,30,Artist,8,4,Cat_6,A,0,1,0,1
Yes,70,Artist,1,4,Cat_6,C,0,1,0,0
No,28,Artist,NA,1,Cat_6,D,0,1,0,1
Yes,89,Lawyer,3,1,Cat_6,D,0,0,1,0
Yes,42,Homemaker,6,4,Cat_6,B,0,0,1,0
Yes,37,Entertainment,6,3,Cat_4,A,0,1,0,0
Yes,29,Executive,1,3,Cat_6,D,1,0,0,0
Yes,68,Artist,1,2,Cat_6,C,0,1,1,0
No,25,Engineer,1,1,Cat_4,D,0,0,0,1
No,29,Healthcare,1,NA,Cat_6,D,1,0,0,1
Yes,48,Doctor,0,2,Cat_6,C,0,1,0,1
Yes,51,Doctor,1,3,Cat_1,C,0,1,0,0
Yes,40,Engineer,1,5,Cat_2,B,0,1,1,0
Yes,47,Artist,0,6,Cat_7,B,1,1,0,0
Yes,39,Executive,NA,3,Cat_6,B,1,1,1,0
Yes,35,Executive,1,4,Cat_6,C,1,1,0,0
No,19,Healthcare,2,3,Cat_6,D,0,0,0,1
No,21,Healthcare,7,NA,Cat_6,D,0,0,0,1
Yes,46,Entertainment,0,3,Cat_4,B,1,1,0,0
Yes,86,Lawyer,0,1,Cat_6,B,1,1,0,1
Yes,66,Artist,0,2,Cat_6,B,1,1,1,0
No,42,Marketing,1,5,Cat_4,D,1,0,0,1
Yes,73,Lawyer,1,2,Cat_6,B,0,1,1,0
Yes,72,Engineer,1,1,Cat_6,A,1,0,0,1
Yes,53,Artist,0,3,Cat_6,B,1,1,0,1
Yes,39,Artist,8,2,Cat_6,C,0,1,0,0
No,27,Homemaker,9,1,Cat_6,D,0,0,0,1
Yes,63,Entertainment,1,NA,Cat_6,B,1,0,0,0
No,23,Healthcare,1,3,Cat_4,D,0,0,0,1
No,30,Entertainment,0,4,Cat_6,B,0,1,0,1
Yes,39,Artist,5,2,Cat_6,C,0,1,0,0
Yes,26,Artist,1,3,Cat_6,B,1,1,0,0
Yes,50,Entertainment,7,3,Cat_6,A,0,1,0,1
Yes,45,Artist,1,2,Cat_6,C,0,1,0,0
No,62,Entertainment,2,1,Cat_6,A,0,0,0,1
No,27,Doctor,1,3,Cat_6,A,0,1,0,1
Yes,57,Entertainment,1,NA,Cat_6,A,1,1,0,1
Yes,30,Engineer,1,7,Cat_4,A,0,0,0,0
No,32,Healthcare,7,4,Cat_3,A,1,0,0,1
No,18,Executive,NA,5,Cat_4,A,1,NA,0,1
No,47,Artist,3,3,Cat_5,B,1,0,0,1
No,32,Artist,4,4,Cat_2,A,0,1,0,1
Yes,32,Engineer,5,3,Cat_1,A,0,0,0,1
Yes,67,Doctor,1,4,Cat_6,B,1,1,0,0
Yes,77,Lawyer,0,2,Cat_6,C,0,1,1,0
Yes,79,NA,0,2,NA,C,1,0,0,0
No,31,Entertainment,1,1,Cat_4,A,1,0,0,1
Yes,42,Artist,0,3,Cat_4,A,1,1,0,1
No,18,NA,0,6,Cat_6,D,0,0,0,1
Yes,50,Artist,1,4,Cat_2,C,1,1,0,0
Yes,71,Artist,0,5,Cat_6,C,1,1,0,0
Yes,72,Lawyer,1,3,Cat_6,A,0,0,0,1
Yes,47,Artist,NA,3,Cat_6,A,1,1,0,1
Yes,45,Artist,9,2,Cat_6,C,1,1,0,0
No,40,Engineer,9,5,Cat_4,A,0,0,0,1
No,36,Engineer,4,1,Cat_6,A,0,1,0,1
No,42,Artist,NA,1,Cat_6,B,0,1,0,1
No,30,Healthcare,4,4,Cat_6,D,1,0,0,1
No,29,Healthcare,2,4,Cat_4,B,0,1,0,1
No,28,Engineer,0,5,Cat_4,D,1,1,0,1
NA,22,Healthcare,NA,2,Cat_6,D,1,0,0,1
Yes,85,Lawyer,NA,1,Cat_6,D,1,0,0,1
Yes,40,Artist,1,2,Cat_6,C,0,1,0,0
Yes,52,Artist,14,2,Cat_6,C,0,1,0,0
Yes,47,Artist,0,NA,Cat_6,C,1,1,0,1
No,26,Artist,6,6,Cat_5,D,1,0,0,1
